lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
grow,105,grow=39; growing=33; grows=13; grew=10; grown=10,0,0,105,0,0,0,0,0
park,105,park=78; parks=21; parked=4; parking=2,71,20,14,0,0,0,0,0
interesting,104,interesting=104,0,53,0,0,51,0,0,0
decision,103,decisions=54; decision=49,103,0,0,0,0,0,0,0
earth,103,earth=103,9,94,0,0,0,0,0,0
lot,103,lot=84; lots=19,100,3,0,0,0,0,0,0
program,103,program=59; programs=43; programmed=1,100,2,1,0,0,0,0,0
purpose,103,purpose=94; purposes=9,103,0,0,0,0,0,0,0
tell,103,tell=84; told=8; tells=6; telling=5,0,0,103,0,0,0,0,0
tool,103,tools=81; tool=22,103,0,0,0,0,0,0,0
back,102,back=98; backed=2; backing=2,16,0,7,0,6,67,0,6
enjoy,102,enjoy=70; enjoyed=16; enjoys=9; enjoying=7,0,0,102,0,0,0,0,0
highlight,102,highlight=78; highlights=13; highlighting=7; highlighted=4,2,0,100,0,0,0,0,0
near,102,near=97; nearest=5,0,0,0,0,7,6,0,89
significant,102,significant=102,0,0,0,0,102,0,0,0
each,101,each=101,0,0,0,0,0,1,0,100
green,101,green=98; greens=3,4,16,0,0,81,0,0,0
identify,101,identify=76; identifying=13; identified=10; identifies=2,0,0,101,0,0,0,0,0
scientist,101,scientists=92; scientist=9,101,0,0,0,0,0,0,0
teach,101,teaching=62; taught=22; teach=12; teaches=5,0,0,101,0,0,0,0,0
concern,100,concerns=56; concern=34; concerned=8; concerning=2,89,0,11,0,0,0,0,0
hear,100,heard=64; hear=32; hearing=4,0,0,100,0,0,0,0,0
weekend,100,weekend=90; weekends=10,99,1,0,0,0,0,0,0
world,100,world=97; worlds=3,96,4,0,0,0,0,0,0
argue,99,argue=89; argued=6; arguing=3; argues=1,0,0,99,0,0,0,0,0
keep,99,keep=67; keeping=12; kept=12; keeps=8,0,0,99,0,0,0,0,0
service,99,service=58; services=40; servicing=1,95,3,1,0,0,0,0,0
specie,99,species=99,99,0,0,0,0,0,0,0
ability,98,ability=80; abilities=18,98,0,0,0,0,0,0,0
bring,98,bring=70; brought=17; bringing=10; brings=1,0,2,96,0,0,0,0,0
customer,98,customer=59; customers=39,96,2,0,0,0,0,0,0
everyday,98,everyday=98,41,0,0,0,57,0,0,0
feel,98,feel=57; feels=16; feeling=15; felt=10,2,0,96,0,0,0,0,0
growth,98,growth=98,96,2,0,0,0,0,0,0
result,98,results=42; result=40; resulting=12; resulted=4,64,0,34,0,0,0,0,0
feature,97,features=50; feature=32; featured=10; featuring=5,57,0,40,0,0,0,0,0
few,97,few=79; fewer=18,0,0,0,0,97,0,0,0
paragraph,97,paragraph=90; paragraphs=7,67,28,2,0,0,0,0,0
try,97,try=42; trying=29; tried=25; tries=1,3,0,94,0,0,0,0,0
across,96,across=96,0,0,0,0,0,0,0,96
future,96,future=95; futures=1,44,3,0,0,49,0,0,0
morning,95,morning=89; mornings=6,95,0,0,0,0,0,0,0
office,95,office=91; offices=4,83,12,0,0,0,0,0,0
receive,95,received=47; receive=42; receiving=5; receives=1,0,0,95,0,0,0,0,0
wind,95,wind=90; winds=5,89,4,2,0,0,0,0,0
end,94,end=73; ended=10; ends=8; ending=3,53,0,41,0,0,0,0,0
pattern,94,patterns=78; pattern=16,94,0,0,0,0,0,0,0
maintain,93,maintain=50; maintaining=38; maintained=5,0,0,93,0,0,0,0,0
personal,93,personal=93,1,3,0,0,89,0,0,0
build,92,built=32; building=30; build=25; builds=5,1,0,91,0,0,0,0,0
