lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
next,741,next=741,0,2,0,0,618,114,0,7
click,740,click=727; clicking=6; clicks=6; clicked=1,10,0,730,0,0,0,0,0
music,739,music=738; musics=1,715,21,1,0,2,0,0,0
likely,737,likely=737,0,0,0,0,593,144,0,0
campus,735,campus=730; campuses=5,697,37,1,0,0,0,0,0
happen,735,happened=250; happens=210; happen=196; happening=79,0,0,735,0,0,0,0,0
region,726,region=377; regions=349,726,0,0,0,0,0,0,0
social,717,social=717,0,17,0,0,700,0,0,0
little,715,little=715,0,34,0,0,645,36,0,0
activity,712,activity=373; activities=339,708,4,0,0,0,0,0,0
imply,712,imply=687; implies=16; implied=6; implying=3,0,0,712,0,0,0,0,0
job,706,job=507; jobs=199,704,2,0,0,0,0,0,0
young,706,young=602; younger=96; youngest=8,6,8,0,0,692,0,0,0
base,705,based=617; base=82; basing=4; bases=2,72,1,632,0,0,0,0,0
production,704,production=677; productions=27,699,5,0,0,0,0,0,0
below,703,below=703,0,0,0,0,0,385,0,318
school,702,school=548; schools=146; schooling=8,662,32,8,0,0,0,0,0
air,698,air=695; airs=2; aired=1,676,17,5,0,0,0,0,0
consider,697,consider=305; considered=295; considering=79; considers=18,0,0,697,0,0,0,0,0
experience,695,experience=456; experienced=111; experiences=110; experiencing=18,486,0,209,0,0,0,0,0
climate,692,climate=566; climates=126,672,17,3,0,0,0,0,0
forest,691,forest=351; forests=315; forested=25,645,21,25,0,0,0,0,0
object,688,objects=509; object=173; objected=6,661,1,26,0,0,0,0,0
low,687,low=408; lower=257; lowest=21; lows=1,2,3,0,0,669,13,0,0
remain,687,remains=286; remain=201; remained=132; remaining=68,141,0,546,0,0,0,0,0
specific,687,specific=684; specifics=3,6,5,0,0,676,0,0,0
sea,686,sea=645; seas=41,570,115,0,0,1,0,0,0
without,686,without=686,0,0,0,0,0,1,0,685
yes,686,yes=686,0,1,0,0,0,0,0,685
complete,679,complete=572; completed=83; completing=23; completes=1,0,5,589,0,85,0,0,0
ice,679,ice=676; ices=2; icing=1,626,52,1,0,0,0,0,0
similar,676,similar=676,0,2,0,0,674,0,0,0
benefit,675,benefit=326; benefits=294; benefited=46; benefiting=9,415,0,260,0,0,0,0,0
contain,671,contain=250; contained=177; contains=173; containing=71,1,0,670,0,0,0,0,0
book,669,book=364; books=300; booked=5,637,20,12,0,0,0,0,0
sound,667,sounds=340; sound=303; sounded=17; sounding=7,316,7,308,0,36,0,0,0
state,665,state=480; states=156; stating=15; stated=14,428,17,220,0,0,0,0,0
age,663,age=551; ages=92; aged=11; aging=9,461,181,21,0,0,0,0,0
off,663,off=658; offs=5,15,1,0,0,6,29,0,612
technology,662,technology=532; technologies=130,645,17,0,0,0,0,0,0
method,659,methods=338; method=321,652,7,0,0,0,0,0,0
tell,656,tell=396; told=151; tells=60; telling=49,0,12,644,0,0,0,0,0
relationship,655,relationship=522; relationships=133,655,0,0,0,0,0,0,0
project,651,project=458; projects=174; projected=16; projecting=3,616,6,29,0,0,0,0,0
mainly,650,mainly=650,0,0,0,0,0,650,0,0
event,641,events=346; event=295,637,3,1,0,0,0,0,0
united,641,united=641,0,640,0,0,1,0,0,0
child,640,children=527; child=113,636,4,0,0,0,0,0,0
affect,639,affect=251; affected=235; affects=107; affecting=46,4,0,635,0,0,0,0,0
major,639,major=576; majors=43; majoring=18; majored=2,113,14,24,0,488,0,0,0
away,637,away=637,0,0,0,0,1,587,0,49
already,635,already=635,0,0,0,0,0,635,0,0
business,635,business=465; businesses=170,626,9,0,0,0,0,0,0
insect,635,insects=459; insect=176,612,7,16,0,0,0,0,0
society,634,society=325; societies=309,625,9,0,0,0,0,0,0
understand,634,understand=436; understood=93; understanding=66; understands=39,0,0,634,0,0,0,0,0
condition,633,conditions=563; condition=70,632,0,1,0,0,0,0,0
level,632,levels=340; level=289; leveled=3,626,0,5,0,1,0,0,0
states,630,states=630,0,630,0,0,0,0,0,0
sun,628,sun=626; suns=2,248,380,0,0,0,0,0,0
development,626,development=564; developments=62,613,13,0,0,0,0,0,0
europe,621,europe=621,0,621,0,0,0,0,0,0
experiment,618,experiment=393; experiments=174; experimenting=28; experimented=23,537,1,79,0,1,0,0,0
available,616,available=616,0,1,0,0,615,0,0,0
direction,611,directions=409; direction=202,611,0,0,0,0,0,0,0
together,611,together=611,0,0,0,0,0,608,0,3
carbon,610,carbon=610,588,18,4,0,0,0,0,0
sometimes,601,sometimes=601,0,0,0,0,0,601,0,0
difficult,596,difficult=596,0,0,0,0,596,0,0,0
four,596,four=596,0,2,0,0,0,0,0,594
hold,596,holding=227; hold=168; held=149; holds=52,22,0,574,0,0,0,0,0
involve,594,involved=288; involves=152; involve=80; involving=74,2,0,592,0,0,0,0,0
usually,594,usually=594,0,0,0,0,0,594,0,0
always,593,always=593,0,0,0,0,0,593,0,0
quality,591,quality=545; qualities=46,590,1,0,0,0,0,0,0
topic,589,topic=525; topics=64,589,0,0,0,0,0,0,0
later,587,later=587,0,0,0,0,123,464,0,0
organism,586,organisms=455; organism=131,586,0,0,0,0,0,0,0
common,585,common=575; commons=10,12,2,0,0,571,0,0,0
modern,584,modern=584,1,18,0,0,565,0,0,0
near,581,near=559; nearest=12; nearer=5; nears=3; neared=1; nearing=1,0,25,5,0,45,17,0,489
must,578,must=578,1,0,0,577,0,0,0,0
center,577,center=409; centers=140; centered=28,503,43,29,0,2,0,0,0
culture,576,culture=381; cultures=195,571,5,0,0,0,0,0,0
