lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
world,1028,world=1018; worlds=10,853,175,0,0,0,0,0,0
music,1026,music=1025; musics=1,992,31,1,0,2,0,0,0
product,1026,products=588; product=438,1024,1,1,0,0,0,0,0
okay,1023,okay=1023,0,3,0,0,104,5,0,911
next,1021,next=1021,0,4,0,0,841,158,0,18
social,1018,social=1018,1,31,0,0,985,1,0,0
eat,1012,eat=521; eating=267; eaten=109; ate=70; eats=45,4,0,1008,0,0,0,0,0
let,1007,let=947; lets=30; letting=30,7,4,996,0,0,0,0,0
location,1002,location=781; locations=221,1000,2,0,0,0,0,0,0
last,998,last=863; lasting=57; lasted=53; lasts=25,1,3,199,0,777,18,0,0
old,996,old=666; older=238; oldest=82; olds=10,10,141,0,0,845,0,0,0
since,996,since=996,0,0,0,0,0,17,0,979
believe,991,believe=627; believed=230; believes=127; believing=7,0,0,991,0,0,0,0,0
certain,990,certain=990,0,4,0,0,986,0,0,0
soil,989,soil=884; soils=105,978,11,0,0,0,0,0,0
choose,987,choose=759; chose=91; choosing=68; chosen=61; chooses=8,0,4,983,0,0,0,0,0
artist,982,artists=668; artist=314,976,5,0,0,1,0,0,0
leave,981,leave=428; left=347; leaving=127; leaves=67; leaved=12,4,2,975,0,0,0,0,0
own,981,own=875; owned=78; owning=16; owns=12,0,0,138,0,843,0,0,0
end,980,end=738; ended=149; ends=73; ending=20,566,0,414,0,0,0,0,0
environment,979,environment=744; environments=235,973,5,1,0,0,0,0,0
however,976,however=976,0,0,0,0,0,975,0,1
meaning,976,meaning=958; meanings=18,975,1,0,0,0,0,0,0
planet,969,planet=565; planets=404,966,3,0,0,0,0,0,0
indicate,958,indicate=749; indicates=117; indicated=59; indicating=33,0,0,958,0,0,0,0,0
require,956,required=412; require=254; requires=242; requiring=48,0,1,954,0,1,0,0,0
design,951,design=506; designed=232; designs=172; designing=41,587,7,357,0,0,0,0,0
amount,949,amount=659; amounts=288; amounted=2,941,0,8,0,0,0,0,0
energy,947,energy=940; energies=7,937,10,0,0,0,0,0,0
keep,944,keep=595; kept=160; keeping=118; keeps=71,0,0,944,0,0,0,0,0
describe,938,describe=424; described=291; describes=184; describing=39,1,0,937,0,0,0,0,0
here,920,here=920,0,0,0,0,0,920,0,0
experience,917,experience=569; experiences=193; experienced=125; experiencing=30,655,1,261,0,0,0,0,0
history,917,history=897; histories=20,906,11,0,0,0,0,0,0
yes,911,yes=911,0,47,0,0,0,0,0,864
building,908,building=499; buildings=409,890,18,0,0,0,0,0,0
scientist,906,scientists=838; scientist=68,901,2,2,0,1,0,0,0
field,905,field=540; fields=364; fielding=1,897,7,1,0,0,0,0,0
view,905,view=728; views=83; viewed=51; viewing=42; viewer=1,379,361,164,0,1,0,0,0
three,904,three=904,0,3,0,0,0,0,0,901
follow,897,following=560; follow=198; followed=114; follows=25,7,0,890,0,0,0,0,0
technology,890,technology=717; technologies=173,871,19,0,0,0,0,0,0
activity,888,activities=444; activity=444,884,4,0,0,0,0,0,0
behavior,888,behavior=713; behaviors=175,878,10,0,0,0,0,0,0
try,887,try=391; trying=312; tried=163; tries=21,11,0,876,0,0,0,0,0
build,885,built=405; build=285; building=173; builds=22,8,0,877,0,0,0,0,0
event,880,event=457; events=423,875,4,1,0,0,0,0,0
body,877,body=589; bodies=288,875,1,1,0,0,0,0,0
source,877,source=482; sources=394; sourced=1,875,1,1,0,0,0,0,0
down,876,down=874; downs=2,3,0,0,0,4,120,0,749
employee,875,employee=597; employees=278,861,14,0,0,0,0,0,0
paper,873,paper=772; papers=101,866,7,0,0,0,0,0,0
likely,869,likely=869,0,0,0,0,651,218,0,0
book,867,book=490; books=356; booked=20; booking=1,803,25,39,0,0,0,0,0
seem,866,seems=396; seem=332; seemed=136; seeming=2,0,0,866,0,0,0,0,0
occur,862,occurred=325; occur=267; occurs=186; occurring=84,3,0,859,0,0,0,0,0
heat,856,heat=770; heated=58; heats=15; heating=13,699,19,138,0,0,0,0,0
rock,855,rock=486; rocks=369,838,15,2,0,0,0,0,0
color,845,color=455; colors=327; colored=52; coloring=11,763,14,68,0,0,0,0,0
job,839,job=616; jobs=223,837,2,0,0,0,0,0,0
predator,834,predators=610; predator=224,833,1,0,0,0,0,0,0
far,832,far=608; further=125; farther=99,0,6,0,0,10,816,0,0
school,829,school=661; schools=160; schooling=8,786,35,8,0,0,0,0,0
imply,824,imply=796; implies=18; implied=7; implying=3,0,0,824,0,0,0,0,0
sound,819,sounds=429; sound=365; sounded=17; sounding=8,382,8,377,0,52,0,0,0
benefit,817,benefits=383; benefit=373; benefited=49; benefiting=12,525,0,292,0,0,0,0,0
climate,815,climate=677; climates=138,783,26,6,0,0,0,0,0
belong,812,belong=745; belonged=32; belonging=20; belongs=15,0,0,812,0,0,0,0,0
fact,812,fact=751; facts=61,811,0,1,0,0,0,0,0
happen,811,happened=272; happens=229; happen=215; happening=95,0,0,811,0,0,0,0,0
oh,811,oh=811,0,2,0,0,0,0,0,809
paint,810,paint=349; painted=199; paints=133; painting=129,381,4,425,0,0,0,0,0
project,808,project=580; projects=209; projected=16; projecting=3,770,6,32,0,0,0,0,0
several,806,several=806,0,1,0,0,805,0,0,0
speaker,806,speaker=594; speakers=212,781,25,0,0,0,0,0,0
true,805,true=805,1,2,0,0,802,0,0,0
atmosphere,803,atmosphere=774; atmospheres=29,799,4,0,0,0,0,0,0
without,801,without=801,0,0,0,0,0,1,0,800
size,796,size=719; sizes=72; sized=3; sizing=2,785,5,6,0,0,0,0,0
base,791,based=699; base=86; basing=4; bases=2,76,1,714,0,0,0,0,0
possible,786,possible=786,0,2,0,0,784,0,0,0
air,784,air=780; airs=3; aired=1,758,20,6,0,0,0,0,0
region,784,regions=395; region=389,784,0,0,0,0,0,0,0
consider,781,consider=329; considered=323; considering=109; considers=20,0,0,781,0,0,0,0,0
understand,780,understand=515; understanding=120; understood=105; understands=40,0,0,780,0,0,0,0,0
method,775,methods=403; method=372,768,7,0,0,0,0,0,0
ago,774,ago=774,0,0,0,0,0,762,0,12
remain,769,remains=333; remain=229; remained=135; remaining=72,148,0,621,0,0,0,0,0
specific,767,specific=764; specifics=3,6,5,0,0,756,0,0,0
available,763,available=763,0,1,0,0,762,0,0,0
once,761,once=761,0,0,0,0,0,563,0,198
reduce,760,reduce=325; reduced=193; reducing=157; reduces=85,1,1,758,0,0,0,0,0
business,759,business=548; businesses=211,746,13,0,0,0,0,0,0
tell,759,tell=480; told=159; tells=66; telling=54,0,12,747,0,0,0,0,0
affect,755,affect=308; affected=260; affects=124; affecting=63,5,0,750,0,0,0,0,0
little,755,little=755,0,34,0,0,683,38,0,0
production,755,production=727; productions=28,750,5,0,0,0,0,0,0
center,750,center=563; centers=146; centered=41,624,82,42,0,2,0,0,0
click,749,click=728; clicks=12; clicking=8; clicked=1,16,0,733,0,0,0,0,0
low,748,low=447; lower=278; lowest=22; lows=1,2,5,0,0,722,19,0,0
week,747,week=590; weeks=157,744,3,0,0,0,0,0,0
sea,745,sea=703; seas=42,625,119,0,0,1,0,0,0
off,742,off=735; offs=7,19,1,0,0,8,36,0,678
condition,739,conditions=662; condition=77,738,0,1,0,0,0,0,0
development,737,development=669; developments=68,724,13,0,0,0,0,0,0
ice,734,ice=731; ices=2; icing=1,675,58,1,0,0,0,0,0
mainly,733,mainly=733,0,0,0,0,0,733,0,0
similar,731,similar=731,0,2,0,0,729,0,0,0
young,728,young=619; younger=100; youngest=9,6,9,0,0,713,0,0,0
object,725,objects=537; object=182; objected=6,698,1,26,0,0,0,0,0
forest,722,forest=364; forests=332; forested=26,673,23,26,0,0,0,0,0
relationship,721,relationship=548; relationships=173,721,0,0,0,0,0,0,0
society,716,society=376; societies=340,706,10,0,0,0,0,0,0
below,714,below=714,0,0,0,0,0,388,0,326
individual,711,individual=394; individuals=317,416,13,0,0,282,0,0,0
contain,710,contain=273; contained=183; contains=180; containing=74,1,0,709,0,0,0,0,0
focus,709,focus=417; focused=147; focusing=81; focuses=64,186,8,515,0,0,0,0,0
major,708,major=630; majors=53; majoring=23; majored=2,134,14,29,0,531,0,0,0
modern,707,modern=707,2,22,0,0,683,0,0,0
state,707,state=510; states=166; stated=16; stating=15,463,19,225,0,0,0,0,0
structure,706,structure=342; structures=340; structured=22; structuring=2,679,1,26,0,0,0,0,0
topic,705,topic=619; topics=86,705,0,0,0,0,0,0,0
culture,704,culture=446; cultures=258,694,10,0,0,0,0,0,0
level,704,levels=376; level=325; leveled=3,697,0,6,0,1,0,0,0
child,702,children=573; child=129,698,4,0,0,0,0,0,0
involve,701,involved=316; involves=208; involve=92; involving=85,2,0,699,0,0,0,0,0
age,697,age=578; ages=96; aging=12; aged=11,484,189,24,0,0,0,0,0
natural,696,natural=696,1,11,0,0,684,0,0,0
impact,695,impact=578; impacts=95; impacted=14; impacting=8,624,6,65,0,0,0,0,0
already,694,already=694,0,0,0,0,0,694,0,0
influence,691,influence=378; influenced=213; influences=78; influencing=22,330,6,355,0,0,0,0,0
must,684,must=684,2,0,0,682,0,0,0,0
near,683,near=656; nearest=17; nearer=5; nears=3; neared=1; nearing=1,0,25,5,0,52,23,0,578
